Jahr;Total Wohnbevölkerung
1941;130 688
1945;137 559
1950;146 614
1955;153 920
1960;161 275
1965;163 084
1970;160 271
1975;153 199
1980;144 637
1981;143 703
1982;142 367
1983;140 821
1984;139 575
1985;137 539
1986;136 195
1987;135 324
1988;134 114
1989;133 439
1990;133 205
1991;133 343
1992;132 809
1993;132 314
1994;131 595
1995;131 046
1996;130 128
1997;128 429
1998;126 886
1999;126 467
2000;126 752
2001;126 661
2002;127 330
2003;127 519
2004;127 352
2005;127 421
2006;127 882
2007;128 345
2008;129 418
2009;130 289
2010;131 702
2011;133 656
2012;134 675
2012;137 818
2013;137 980
2014;139 089
2015;140 567
2016;141 660
2017;142 479
2018;142 493
2019;143 278
2020;143 222
2021;143 154
